Player,Season,Club,Pos'n,MLS,Prev WARP,Career WARP,Prev Salary,Club Offer,Player Request,New Salary
Robbie Grossman,2018,MIN,lf,3.06,0.2,1,"$552,500 ",,,"$2,000,000 "
Bruce Rondon,2018,DET,rhp,3.098,0.2,1.7,"$850,000 ",non-tendered,,
Hunter Strickland,2018,SFN,rhp,2.163,0.2,2.4,"$555,000 ",,,"$1,550,000 "
Blake Wood,2018,ANA,rhp,5.131,0.2,2.7,"$1,275,000 ",,,"$1,450,000 "
Chris Hatcher,2018,OAK,rhp,4.146,0.3,1.7,"$1,250,000 ",,,"$2,150,000 "
Cameron Rupp,2018,PHI,c,3.089,0.3,1.9,"$565,000 ",,,"$2,050,000 "
Carlos Rodon,2018,CHA,lhp-s,2.168,0.3,2.6,"$600,000 ",,,"$2,300,000 "
Zach Putnam,2018,CHA,rhp,4.135,0.3,3.5,"$1,117,500 ",non-tendered,,
Justin Wilson,2018,CHN,lhp,5.035,0.3,3.7,"$2,700,000 ",,,"$4,250,000 "
Jordy Mercer,2018,PIT,ss,5.095,0.3,8.4,"$4,325,000 ",,,"$6,750,000 "
Brandon Workman,2018,BOS,rhp,3.115,0.4,0.2,"$550,000 ",,,"$835,000 "
Dan Jennings,2018,TBA,lhp,4.171,0.4,0.6,"$1,400,000 ",,,"$2,375,000 "
Sam Freeman,2018,ATL,lhp,3.066,0.4,0.8,"$550,000 ",,,"$1,075,000 "
Mike Fiers,2018,HOU,rhp-s,4.085,0.4,2.6,"$3,450,000 ",non-tendered,,"$6,000,000 "
Joe Kelly,2018,BOS,rhp,5.029,0.4,2.7,"$2,800,000 ",,,"$3,825,000 "
Matt Shoemaker,2018,ANA,rhp-s,3.166,0.4,7.4,"$3,325,000 ",,,"$4,125,000 "
Ryan Pressly,2018,MIN,rhp,4.039,0.5,1,"$1,175,000 ",,,"$1,600,000 "
T.J. McFarland,2018,ARI,rhp,3.164,0.5,1.1,"$685,000 ",,,"$850,000 "
Nick Ahmed,2018,ARI,ss,3.054,0.5,2.6,"$566,000 ",,,"$1,275,000 "
Josh Fields,2018,LAN,rhp,4.083,0.5,3.1,"$975,000 ",,,"$2,200,000 "
Joc Pederson,2018,LAN,cf,3.023,0.5,5,"$555,000 ",,,"$2,600,000 "
Kelvin Herrera,2018,KC,rhp-c,5.157,0.5,9.9,"$5,325,000 ",,,"$7,937,500 "
A.J. Griffin,2018,TEX,rhp-s,5.034,0.6,1.6,"$2,000,000 ",non-tendered,,
Keone Kela,2018,TEX,rhp,2.168,0.6,2.4,"$543,210 ",,,"$1,200,000 "
C.J. Cron,2018,ANA,1b-dh,3.097,0.6,2.9,"$565,000 ",,,"$2,300,000 "
Brad Boxberger,2018,ARI,rhp,4.109,0.6,3.9,"$1,600,000 ",,,"$1,850,000 "
Liam Hendriks,2018,OAK,rhp,4.038,0.7,0.1,"$1,100,000 ",,,"$1,900,000 "
Shane Greene,2018,DET,rhp,3.075,0.7,1,"$550,600 ",,,"$1,950,000 "
Randall Delgado,2018,ARI,rhp,5.1,0.7,1.7,"$1,775,000 ",,,"$2,250,000 "
Nathan Karns,2018,KC,rhp,3.033,0.7,4.5,"$571,000 ",,,"$1,375,000 "
David Phelps,2018,SEA,rhp,5.156,0.7,4.6,"$4,600,000 ",,,"$5,550,000 "
Michael Wacha,2018,SLN,rhp-s,4.062,0.7,5.5,"$2,775,000 ",,,"$5,300,000 "
Brad Miller,2018,TBA,2b,4.094,0.7,8.6,"$3,575,000 ",,,"$4,500,000 "
Noah Syndergaard,2018,NYN,rhp-s,2.149,0.7,11.1,"$605,500 ",,,"$2,975,000 "
Garrett Richards,2018,ANA,rhp-s,5.148,0.7,14.5,"$6,850,000 ",,,"$7,300,000 "
Michael Lorenzen,2018,CIN,rhp,2.159,0.8,-0.4,"$555,000 ",,,"$1,312,500 "
Jesus Sucre,2018,TBA,c,3.137,0.8,1.2,"$630,000 ",,,"$925,000 "
Tyler Skaggs,2018,ANA,lhp-s,3.135,0.8,1.4,"$555,000 ",,,"$1,875,000 "
Cam Bedrosian,2018,ANA,rhp,2.153,0.8,2.4,"$555,000 ",,,"$1,100,000 "
Cory Gearrin,2018,SFN,rhp,4.136,0.8,2.7,"$1,500,000 ",,,"$1,675,000 "
Blake Treinen,2018,OAK,rhp-c,3.065,0.8,3.3,"$563,700 ",,,"$2,150,000 "
Alex Colome,2018,TBA,rhp-c,3.118,0.8,3.8,"$547,900 ",,,"$5,300,000 "
Jared Hughes,2018,MIL,rhp,5.162,0.8,4.7,"$950,000 ",non-tendered,,"$2,125,000 "
Adeiny Hechavarria,2018,TBA,ss,5.06,0.8,4.9,"$4,350,000 ","$5,350,000 ","$5,900,000 ","$5,900,000 "
Danny Farquhar,2018,CHA,rhp,3.135,0.8,5.2,"$900,000 ",,,"$1,050,000 "
Jonathan Villar,2018,MIL,2b,3.113,0.8,7.5,"$554,500 ",,,"$2,550,000 "
Evan Gattis,2018,HOU,dh-c,5,0.8,9.5,"$5,200,000 ",,,"$6,700,000 "
Ezequiel Carrera,2018,TOR,of,4.039,0.9,1.2,"$1,162,500 ",,,"$1,900,000 "
Matt Szczur,2018,SDN,of,2.134,0.9,1.3,"$549,500 ",,,"$950,000 "
Tommy La Stella,2018,CHN,2b-3b,3.057,0.9,1.7,"$573,500 ",,,"$950,000 "
Eduardo Escobar,2018,MIN,ss,5.128,0.9,1.8,"$2,600,000 ",,,"$4,850,000 "
Andrew Chafin,2018,ARI,lhp,3.02,0.9,2.4,"$559,300 ",,,"$1,195,000 "
Aaron Loup,2018,TOR,lhp,5.04,0.9,3.9,"$1,125,000 ",,,"$1,812,500 "
Jake Marisnick,2018,HOU,cf,3.145,0.9,3.9,"$1,100,000 ",,,"$1,900,000 "
Nicholas Castellanos,2018,DET,3b,4.029,0.9,4.5,"$3,000,000 ",,,"$6,050,000 "
Chris Rusin,2018,COL,lhp-s,3.092,1,-1.2,"$545,000 ",,,"$1,287,500 "
Tyler Lyons,2018,SLN,lhp,3.07,1,1.2,"$549,800 ",,,"$1,200,000 "
Chasen Shreve,2018,NYA,lhp,2.167,1,2.2,"$552,425 ",,,"$825,000 "
Arodys Vizcaino,2018,ATL,rhp,4.168,1,2.7,"$1,550,000 ",,,"$3,400,000 "
George Kontos,2018,PIT,rhp,4.171,1,2.9,"$1,750,000 ",,,"$2,725,000 "
Luis Avilan,2018,CHA,lhp,4.146,1,3.4,"$1,500,000 ",,,"$2,450,000 "
